playerid,name
203992,Bogdan Bogdanovic
1628989,Kevin Huerter
1629629,Cam Reddish
1629027,Trae Young
203524,Solomon Hill
203991,Clint Capela
1629631,De'Andre Hunter
1628381,John Collins
1630219,Skylar Mays
201568,Danilo Gallinari
1629164,Brandon Goodwin
200765,Rajon Rondo
1630233,Nathan Knight
203503,Tony Snell
1628981,Bruno Fernando
1630168,Onyeka Okongwu
101150,Lou Williams
1627739,Kris Dunn
1628369,Jayson Tatum
1630202,Payton Pritchard
1629035,Carsen Edwards
203935,Marcus Smart
1627759,Jaylen Brown
202684,Tristan Thompson
1628400,Semi Ojeleye
1629684,Grant Williams
1629057,Robert Williams III
1628464,Daniel Theis
201952,Jeff Teague
203095,Evan Fournier
202689,Kemba Walker
1629750,Javonte Green
1630174,Aaron Nesmith
1629605,Tacko Fall
1628436,Luke Kornet
203953,Jabari Parker
1629641,Romeo Langford
1629682,Tremont Waters
1629021,Moritz Wagner
203083,Andre Drummond
1628386,Jarrett Allen
1630171,Isaac Okoro
201580,JaVale McGee
1626204,Larry Nance Jr.
1629636,Darius Garland
201567,Kevin Love
1626224,Cedi Osman
1629012,Collin Sexton
1630205,Lamar Stevens
1628422,Damyean Dotson
1627748,Thon Maker
1630271,Brodric Thomas
1627752,Taurean Prince
1629731,Dean Wade
1629685,Dylan Windler
203521,Matthew Dellavedova
1628392,Isaiah Hartenstein
1629662,Mfiondu Kabengele
1629725,Jeremiah Martin
203957,Dante Exum
1627812,Yogi Ferrell
1626188,Quinn Cook
2760,Anderson Varejao
1629716,Marques Bolden
1629627,Zion Williamson
1628366,Lonzo Ball
1627742,Brandon Ingram
200755,JJ Redick
1628404,Josh Hart
1629638,Nickeil Alexander-Walker
1630184,Kira Lewis Jr.
203500,Steven Adams
202339,Eric Bledsoe
201949,James Johnson
1630230,Naji Marshall
1628414,Sindarius Thornwell
1629637,Jaxson Hayes
1626195,Willy Hernangomez
1629740,Nicolo Melli
202738,Isaiah Thomas
203263,James Nunnally
1628411,Wes Iwundu
1629117,Wenyen Gabriel
